Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2026-04-20 00:00:00-04:00,270.3299865722656,274.2799987792969,270.2900085449219,273.04998779296875,36590200,0.0,0.0,AAPL
2026-04-21 00:00:00-04:00,271.5,272.79998779296875,265.3999938964844,266.1700134277344,50209800,0.0,0.0,AAPL
2026-04-22 00:00:00-04:00,267.82000732421875,273.739990234375,266.8699951171875,273.1700134277344,43249200,0.0,0.0,AAPL
2026-04-23 00:00:00-04:00,275.04998779296875,275.7699890136719,271.6499938964844,273.42999267578125,33399600,0.0,0.0,AAPL
2026-04-24 00:00:00-04:00,272.760009765625,273.05999755859375,269.6499938964844,271.05999755859375,38124500,0.0,0.0,AAPL
2026-04-20 00:00:00-04:00,681.3599853515625,683.3800048828125,668.0,670.9099731445312,12534000,0.0,0.0,META
2026-04-21 00:00:00-04:00,671.0,676.2000122070312,667.3300170898438,668.8400268554688,8660100,0.0,0.0,META
2026-04-22 00:00:00-04:00,674.3599853515625,678.3800048828125,669.75,674.719970703125,9215600,0.0,0.0,META
2026-04-23 00:00:00-04:00,663.7000122070312,669.5599975585938,653.0499877929688,659.1500244140625,11667000,0.0,0.0,META
2026-04-24 00:00:00-04:00,660.3200073242188,680.6699829101562,653.8400268554688,675.030029296875,13333400,0.0,0.0,META
2026-04-20 00:00:00-04:00,249.19000244140625,250.17999267578125,245.3699951171875,248.27999877929688,39463100,0.0,0.0,AMZN
2026-04-21 00:00:00-04:00,255.08999633789062,255.08999633789062,249.10000610351562,249.91000366210938,42922400,0.0,0.0,AMZN
2026-04-22 00:00:00-04:00,252.44000244140625,255.94000244140625,250.3300018310547,255.36000061035156,36065100,0.0,0.0,AMZN
2026-04-23 00:00:00-04:00,255.38999938964844,258.7900085449219,253.07000732421875,255.0800018310547,39091400,0.0,0.0,AMZN
2026-04-24 00:00:00-04:00,259.9800109863281,264.5,257.69000244140625,263.989990234375,53695200,0.0,0.0,AMZN
2026-04-20 00:00:00-04:00,97.13999938964844,97.5999984741211,93.54000091552734,94.83000183105469,63298300,0.0,0.0,NFLX
2026-04-21 00:00:00-04:00,94.0,94.6500015258789,92.37000274658203,92.58000183105469,61962300,0.0,0.0,NFLX
2026-04-22 00:00:00-04:00,93.05999755859375,93.8499984741211,92.7699966430664,93.23999786376953,33694300,0.0,0.0,NFLX
2026-04-23 00:00:00-04:00,94.05999755859375,94.63999938964844,92.06999969482422,92.81999969482422,36851700,0.0,0.0,NFLX
2026-04-24 00:00:00-04:00,92.56999969482422,93.27999877929688,91.80000305175781,92.44000244140625,32467500,0.0,0.0,NFLX
2026-04-20 00:00:00-04:00,338.55999755859375,339.1600036621094,334.6300048828125,335.3999938964844,12897300,0.0,0.0,GOOG
2026-04-21 00:00:00-04:00,335.5849914550781,337.1700134277344,329.6300048828125,330.4700012207031,14623800,0.0,0.0,GOOG
2026-04-22 00:00:00-04:00,334.885009765625,338.0299987792969,332.9599914550781,337.7300109863281,12954200,0.0,0.0,GOOG
2026-04-23 00:00:00-04:00,339.57501220703125,340.1600036621094,335.05999755859375,337.75,13442100,0.0,0.0,GOOG
2026-04-24 00:00:00-04:00,337.7200012207031,343.69000244140625,334.04998779296875,342.32000732421875,18243400,0.0,0.0,GOOG
